cusip,security_type,rate,maturity_date,call_date,buy,sale,eod
912797JG3,MARKET BASED BILL,0.0,03/05/2024,,0.000000,99.985417,100.000000
912797GQ4,MARKET BASED BILL,0.0,03/07/2024,,0.000000,99.956167,99.970944
912797JH1,MARKET BASED BILL,0.0,03/12/2024,,99.883000,99.882889,99.897333
912797GX9,MARKET BASED BILL,0.0,03/14/2024,,99.853750,99.853611,99.868250
912797JJ7,MARKET BASED BILL,0.0,03/19/2024,,99.780208,99.780000,99.795056
912797LL9,MARKET BASED BILL,0.0,03/21/2024,,99.750667,99.750194,99.765333
912797JK4,MARKET BASED BILL,0.0,03/26/2024,,99.677639,99.677333,99.692000
912797GY7,MARKET BASED BILL,0.0,03/28/2024,,99.648333,99.648000,99.662667
912797JL2,MARKET BASED BILL,0.0,04/02/2024,,99.574667,99.573861,99.588556
912797GZ4,MARKET BASED BILL,0.0,04/04/2024,,99.545764,99.545333,99.559167
912797JM0,MARKET BASED BILL,0.0,04/09/2024,,99.473000,99.472000,99.486667
912797HF7,MARKET BASED BILL,0.0,04/11/2024,,99.443194,99.442667,99.457333
912797JN8,MARKET BASED BILL,0.0,04/16/2024,,99.370528,99.369333,99.382833
912796CX5,MARKET BASED BILL,0.0,04/18/2024,,99.340000,99.337500,99.352222
912797JP3,MARKET BASED BILL,0.0,04/23/2024,,99.267361,99.266667,99.281333
912797HG5,MARKET BASED BILL,0.0,04/25/2024,,99.239500,99.238778,99.252000
912797JQ1,MARKET BASED BILL,0.0,04/30/2024,,99.163208,99.162417,99.177111
912797HH3,MARKET BASED BILL,0.0,05/02/2024,,99.137125,99.136306,99.150944
912797JV0,MARKET BASED BILL,0.0,05/07/2024,,99.067556,99.066667,99.081250
912797HQ3,MARKET BASED BILL,0.0,05/09/2024,,99.038417,99.037500,99.052083
912797JW8,MARKET BASED BILL,0.0,05/14/2024,,98.971486,98.968528,98.979167
912797FH5,MARKET BASED BILL,0.0,05/16/2024,,98.937444,98.935417,98.950000
912797JX6,MARKET BASED BILL,0.0,05/21/2024,,98.866833,98.864667,98.879222
912797HR1,MARKET BASED BILL,0.0,05/23/2024,,98.837778,98.835556,98.847917
912797JY4,MARKET BASED BILL,0.0,05/28/2024,,98.767500,98.765139,98.777333
912797HS9,MARKET BASED BILL,0.0,05/30/2024,,98.737292,98.736083,98.750611
912797JZ1,MARKET BASED BILL,0.0,06/04/2024,,98.666000,98.663444,98.677972
912797HT7,MARKET BASED BILL,0.0,06/06/2024,,98.640917,98.634389,98.648917
912797KE6,MARKET BASED BILL,0.0,06/11/2024,,98.567250,98.564500,98.576278
912797FS1,MARKET BASED BILL,0.0,06/13/2024,,98.539708,98.535500,98.550000
912797KF3,MARKET BASED BILL,0.0,06/18/2024,,98.463000,98.460056,98.477500
912796ZW2,MARKET BASED BILL,0.0,06/20/2024,,98.446000,98.440000,98.454444
912797KG1,MARKET BASED BILL,0.0,06/25/2024,,98.366208,98.364639,98.376000
912796Y45,MARKET BASED BILL,0.0,06/27/2024,,98.345278,98.338889,98.353333
912796Y52,MARKET BASED BILL,0.0,07/05/2024,,98.235292,98.230167,98.237778
912797GB7,MARKET BASED BILL,0.0,07/11/2024,,98.151000,98.143833,98.158222
912797JS7,MARKET BASED BILL,0.0,07/18/2024,,98.058222,98.050667,98.061250
912797JT5,MARKET BASED BILL,0.0,07/25/2024,,97.972181,97.966222,97.972556
912797JU2,MARKET BASED BILL,0.0,08/01/2024,,97.872917,97.870833,97.880889
912797GK7,MARKET BASED BILL,0.0,08/08/2024,,97.775833,97.771472,97.777000
912797KB2,MARKET BASED BILL,0.0,08/15/2024,,97.681222,97.676667,97.677250
912797KC0,MARKET BASED BILL,0.0,08/22/2024,,97.579875,97.577500,97.586944
912797KD8,MARKET BASED BILL,0.0,08/29/2024,,97.480806,97.478333,97.487583
912797GL5,MARKET BASED BILL,0.0,09/05/2024,,97.404861,97.399722,97.403556
912797GW1,MARKET BASED BILL,0.0,10/03/2024,,97.089000,97.065333,97.079111
912797HE0,MARKET BASED BILL,0.0,10/31/2024,,96.719722,96.706333,96.713333
912797HP5,MARKET BASED BILL,0.0,11/29/2024,,96.355000,96.340000,96.346083
912796ZV4,MARKET BASED BILL,0.0,12/26/2024,,96.019375,96.007000,96.012222
912797JR9,MARKET BASED BILL,0.0,01/23/2025,,95.716319,95.702778,95.689000
912797KA4,MARKET BASED BILL,0.0,02/20/2025,,95.376681,95.371778,95.365333
91282CBR1,MARKET BASED NOTE,0.0025,03/15/2024,,0.000000,99.843750,99.843750
912828W71,MARKET BASED NOTE,0.02125,03/31/2024,,0.000000,99.750000,99.750000
91282CEG2,MARKET BASED NOTE,0.0225,03/31/2024,,0.000000,99.781250,99.750000
